과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역,combined
탁구이론과실제,0ARG1093,2,2.0,유상석,월4~5,일반교양,2.0,탁구이론과실제 / 0ARG1093 / 2 / 2.0 / 유상석 / 월4~5 / 일반교양 / 2.0
테니스이론과실제,0ARG1094,2,2.0,최경범,목5~6,일반교양,2.0,테니스이론과실제 / 0ARG1094 / 2 / 2.0 / 최경범 / 목5~6 / 일반교양 / 2.0
골프문화의이해,0ARG1106,2,2.0,이준우,수7~8,일반교양,2.0,골프문화의이해 / 0ARG1106 / 2 / 2.0 / 이준우 / 수7~8 / 일반교양 / 2.0
현대중국사회의이해,0ARG1141,2,3.0,치아오 춘옌,월5~7,일반교양,2.0,현대중국사회의이해 / 0ARG1141 / 2 / 3.0 / 치아오 춘옌 / 월5~7 / 일반교양 / 2.0
현대사회와가족의이해,0ARG1154,2,2.0,배성아,수3~4,일반교양,2.0,현대사회와가족의이해 / 0ARG1154 / 2 / 2.0 / 배성아 / 수3~4 / 일반교양 / 2.0
부동산과생활경제,0ARG1158,2,3.0,이재순,월2~4,일반교양,2.0,부동산과생활경제 / 0ARG1158 / 2 / 3.0 / 이재순 / 월2~4 / 일반교양 / 2.0
[나눔]생활속토론나눔,0ARG1224,2,2.0,전영미,화5~6,일반교양,2.0,[나눔]생활속토론나눔 / 0ARG1224 / 2 / 2.0 / 전영미 / 화5~6 / 일반교양 / 2.0
글로벌이슈,0ARG1236,2,2.0,데이비드 데보라,화5~6,일반교양,2.0,글로벌이슈 / 0ARG1236 / 2 / 2.0 / 데이비드 데보라 / 화5~6 / 일반교양 / 2.0
세계경제역사속메디치효과,0ARG1244,2,2.0,벤자민 스웬슨,목1~2,일반교양,2.0,세계경제역사속메디치효과 / 0ARG1244 / 2 / 2.0 / 벤자민 스웬슨 / 목1~2 / 일반교양 / 2.0
기업윤리의이해,0ARG1245,2,2.0,최승준,화5~6,일반교양,2.0,기업윤리의이해 / 0ARG1245 / 2 / 2.0 / 최승준 / 화5~6 / 일반교양 / 2.0
미디어발달과뉴미디어이해,0ARG1248,2,3.0,김용석,목1~3,일반교양,2.0,미디어발달과뉴미디어이해 / 0ARG1248 / 2 / 3.0 / 김용석 / 목1~3 / 일반교양 / 2.0
북한역사의이해,0ARG1256,2,2.0,이세진,목3~4,일반교양,2.0,북한역사의이해 / 0ARG1256 / 2 / 2.0 / 이세진 / 목3~4 / 일반교양 / 2.0
쟁점으로본한국근현대사,0ARG1260,2,2.0,이세진,목1~2,일반교양,2.0,쟁점으로본한국근현대사 / 0ARG1260 / 2 / 2.0 / 이세진 / 목1~2 / 일반교양 / 2.0
기업가정신과ESG,0ARG1307,2,2.0,전영미,수3~4,일반교양,2.0,기업가정신과ESG / 0ARG1307 / 2 / 2.0 / 전영미 / 수3~4 / 일반교양 / 2.0
역사속의도시이야기,0ARG1323,2,2.0,브라이언,수3~4,일반교양,2.0,역사속의도시이야기 / 0ARG1323 / 2 / 2.0 / 브라이언 / 수3~4 / 일반교양 / 2.0
ESG기독교성품과사회적기여,0ARG1329,2,2.0,윤은석,월1~2,일반교양,2.0,ESG기독교성품과사회적기여 / 0ARG1329 / 2 / 2.0 / 윤은석 / 월1~2 / 일반교양 / 2.0
멘토링과자기계발,0ARG1330,2,2.0,데이비드 데보라,화7~8,일반교양,2.0,멘토링과자기계발 / 0ARG1330 / 2 / 2.0 / 데이비드 데보라 / 화7~8 / 일반교양 / 2.0
플랫폼비즈니스와벤처,0ARG1214,7,3.0,김상범,수7~9,일반교양,2.0,플랫폼비즈니스와벤처 / 0ARG1214 / 7 / 3.0 / 김상범 / 수7~9 / 일반교양 / 2.0
환경윤리,0ARG1254,7,2.0,김완구,수5~6,일반교양,2.0,환경윤리 / 0ARG1254 / 7 / 2.0 / 김완구 / 수5~6 / 일반교양 / 2.0
삶과직업윤리,0ARG1255,9,2.0,김완구,수7~8,일반교양,2.0,삶과직업윤리 / 0ARG1255 / 9 / 2.0 / 김완구 / 수7~8 / 일반교양 / 2.0
홈페이지입문,0ARG1297,1,2.0,안용학,목2~3,일반교양,3.0,홈페이지입문 / 0ARG1297 / 1 / 2.0 / 안용학 / 목2~3 / 일반교양 / 3.0
시각적커뮤니케이션,0ARG1299,1,2.0,허친슨,목1~2,일반교양,3.0,시각적커뮤니케이션 / 0ARG1299 / 1 / 2.0 / 허친슨 / 목1~2 / 일반교양 / 3.0
성의과학,0ARB5590,2,2.0,방인석,목4~5,일반교양,3.0,성의과학 / 0ARB5590 / 2 / 2.0 / 방인석 / 목4~5 / 일반교양 / 3.0
과학적소통을위한수학,0ARG1169,2,2.0,박영자,목7~8,일반교양,3.0,과학적소통을위한수학 / 0ARG1169 / 2 / 2.0 / 박영자 / 목7~8 / 일반교양 / 3.0
생명과학의현대적이해,0ARB0423,2,2.0,김산,월1~2,일반교양,3.0,생명과학의현대적이해 / 0ARB0423 / 2 / 2.0 / 김산 / 월1~2 / 일반교양 / 3.0
21세기녹색환경문화,0ARB0424,2,2.0,이기영,화3~4,일반교양,3.0,21세기녹색환경문화 / 0ARB0424 / 2 / 2.0 / 이기영 / 화3~4 / 일반교양 / 3.0
신체발육발달과운동,0ARB1730,2,2.0,이준우,목7~8,일반교양,3.0,신체발육발달과운동 / 0ARB1730 / 2 / 2.0 / 이준우 / 목7~8 / 일반교양 / 3.0
환경과조경,0ARB5515,2,2.0,이상국,수2~3,일반교양,3.0,환경과조경 / 0ARB5515 / 2 / 2.0 / 이상국 / 수2~3 / 일반교양 / 3.0
인간두뇌의이해,0ARG1120,2,3.0,방인석,화2~4,일반교양,3.0,인간두뇌의이해 / 0ARG1120 / 2 / 3.0 / 방인석 / 화2~4 / 일반교양 / 3.0
사진과시네마토그래피,0ARG1140,2,2.0,김윤경,금1~2,일반교양,3.0,사진과시네마토그래피 / 0ARG1140 / 2 / 2.0 / 김윤경 / 금1~2 / 일반교양 / 3.0
4차산업혁명시대의컴퓨터과학,0ARG1150,2,3.0,이호석,화5~7,일반교양,3.0,4차산업혁명시대의컴퓨터과학 / 0ARG1150 / 2 / 3.0 / 이호석 / 화5~7 / 일반교양 / 3.0
인간질병의이해,0ARG1157,2,2.0,방인석,월6~7,일반교양,3.0,인간질병의이해 / 0ARG1157 / 2 / 2.0 / 방인석 / 월6~7 / 일반교양 / 3.0
[나눔]소프트웨어창의나눔,0ARG1223,2,2.0,이경희,화5~6,일반교양,3.0,[나눔]소프트웨어창의나눔 / 0ARG1223 / 2 / 2.0 / 이경희 / 화5~6 / 일반교양 / 3.0
정보기술의역사와트렌드,0ARG1258,2,3.0,이동욱,수5~7,일반교양,3.0,정보기술의역사와트렌드 / 0ARG1258 / 2 / 3.0 / 이동욱 / 수5~7 / 일반교양 / 3.0
[나눔]스타트인공지능,0ARG1303,2,2.0,전수진,수2~3,일반교양,3.0,[나눔]스타트인공지능 / 0ARG1303 / 2 / 2.0 / 전수진 / 수2~3 / 일반교양 / 3.0
인공지능융합ESG,0ARG1305,2,2.0,이경희,화3~4,일반교양,3.0,인공지능융합ESG / 0ARG1305 / 2 / 2.0 / 이경희 / 화3~4 / 일반교양 / 3.0
손에잡히는데이터시각화,0ARG1321,2,2.0,문정경,월4~5,일반교양,3.0,손에잡히는데이터시각화 / 0ARG1321 / 2 / 2.0 / 문정경 / 월4~5 / 일반교양 / 3.0
소프트웨어중심세상,0ARG1336,2,2.0,문정경,수2~3,일반교양,3.0,소프트웨어중심세상 / 0ARG1336 / 2 / 2.0 / 문정경 / 수2~3 / 일반교양 / 3.0
과학기술과미래사회,0ARG1345,2,2.0,전철규,목7~8,일반교양,3.0,과학기술과미래사회 / 0ARG1345 / 2 / 2.0 / 전철규 / 목7~8 / 일반교양 / 3.0
창의적발상과기법,0ARG1259,9,2.0,황길주,수1~2,일반교양,3.0,창의적발상과기법 / 0ARG1259 / 9 / 2.0 / 황길주 / 수1~2 / 일반교양 / 3.0
글로벌시대의한국,0ARB2021,2,2.0,치아오 춘옌,월1~2,일반교양,4.0,글로벌시대의한국 / 0ARB2021 / 2 / 2.0 / 치아오 춘옌 / 월1~2 / 일반교양 / 4.0
한중문화비교탐방,0ARB2570,2,2.0,정다정,수7~8,일반교양,4.0,한중문화비교탐방 / 0ARB2570 / 2 / 2.0 / 정다정 / 수7~8 / 일반교양 / 4.0
아산의이해,0ARB3005,2,2.0,전영미,목1~2,일반교양,4.0,아산의이해 / 0ARB3005 / 2 / 2.0 / 전영미 / 목1~2 / 일반교양 / 4.0
과학문명의이해,0ARB4210,2,2.0,노혜경,금3~4,일반교양,4.0,과학문명의이해 / 0ARB4210 / 2 / 2.0 / 노혜경 / 금3~4 / 일반교양 / 4.0
현대사회의갈등과공존,0ARB6632,2,2.0,이세진,수3~4,일반교양,4.0,현대사회의갈등과공존 / 0ARB6632 / 2 / 2.0 / 이세진 / 수3~4 / 일반교양 / 4.0
창의적사고와디자인(창업가정신),0ARG1068,2,2.0,이철재,화3~4,일반교양,4.0,창의적사고와디자인(창업가정신) / 0ARG1068 / 2 / 2.0 / 이철재 / 화3~4 / 일반교양 / 4.0
영화읽고철학하기,0ARG1123,2,2.0,정영기,목7~8,일반교양,4.0,영화읽고철학하기 / 0ARG1123 / 2 / 2.0 / 정영기 / 목7~8 / 일반교양 / 4.0
과학과윤리,0ARG1134,2,2.0,이기영,수7~8,일반교양,4.0,과학과윤리 / 0ARG1134 / 2 / 2.0 / 이기영 / 수7~8 / 일반교양 / 4.0
문화속의과학기술과음악,0ARG1148,2,3.0,이은영,화5~7,일반교양,4.0,문화속의과학기술과음악 / 0ARG1148 / 2 / 3.0 / 이은영 / 화5~7 / 일반교양 / 4.0
로봇윤리의이해,0ARG1149,2,2.0,최효선,수5~6,일반교양,4.0,로봇윤리의이해 / 0ARG1149 / 2 / 2.0 / 최효선 / 수5~6 / 일반교양 / 4.0
미디어로다시읽는영미명작,0ARG1156,2,2.0,김혜경,수5~6,일반교양,4.0,미디어로다시읽는영미명작 / 0ARG1156 / 2 / 2.0 / 김혜경 / 수5~6 / 일반교양 / 4.0
우리몸의이해와생활안전(팀티칭),0ARG1161,2,2.0,방인석,목1~2,일반교양,4.0,우리몸의이해와생활안전(팀티칭) / 0ARG1161 / 2 / 2.0 / 방인석 / 목1~2 / 일반교양 / 4.0
사물인터넷과미래생활(벤처창업),0ARG1166,2,3.0,박기호,목2~4,일반교양,4.0,사물인터넷과미래생활(벤처창업) / 0ARG1166 / 2 / 3.0 / 박기호 / 목2~4 / 일반교양 / 4.0
공연영상미디어와치유,0ARG1167,2,3.0,김향,월7~9,일반교양,4.0,공연영상미디어와치유 / 0ARG1167 / 2 / 3.0 / 김향 / 월7~9 / 일반교양 / 4.0
4차산업혁명시대의그림책읽기,0ARG1219,2,2.0,김윤경,화5~6,일반교양,4.0,4차산업혁명시대의그림책읽기 / 0ARG1219 / 2 / 2.0 / 김윤경 / 화5~6 / 일반교양 / 4.0
충남의이해,0ARG1240,2,2.0,구경완,화7~8,일반교양,4.0,충남의이해 / 0ARG1240 / 2 / 2.0 / 구경완 / 화7~8 / 일반교양 / 4.0
현대사회의사운드아트,0ARG1269,2,2.0,이은영,화1~2,일반교양,4.0,현대사회의사운드아트 / 0ARG1269 / 2 / 2.0 / 이은영 / 화1~2 / 일반교양 / 4.0
미래기술과산업,0ARG1274,2,2.0,신현곤,수3~4,일반교양,4.0,미래기술과산업 / 0ARG1274 / 2 / 2.0 / 신현곤 / 수3~4 / 일반교양 / 4.0
공간이만드는심리세계,0ARG1280,2,2.0,정성욱,월6~7,일반교양,4.0,공간이만드는심리세계 / 0ARG1280 / 2 / 2.0 / 정성욱 / 월6~7 / 일반교양 / 4.0
환경글로벌솔루션,0ARG1313,2,2.0,텐진 버제스,월3~4,일반교양,4.0,환경글로벌솔루션 / 0ARG1313 / 2 / 2.0 / 텐진 버제스 / 월3~4 / 일반교양 / 4.0
디지털전환경영및기술의이해,0ARG1327,2,3.0,이동욱,화5~7,일반교양,4.0,디지털전환경영및기술의이해 / 0ARG1327 / 2 / 3.0 / 이동욱 / 화5~7 / 일반교양 / 4.0
포스트휴머니즘의이해,0ARG1276,7,2.0,김완구,월7~8,일반교양,4.0,포스트휴머니즘의이해 / 0ARG1276 / 7 / 2.0 / 김완구 / 월7~8 / 일반교양 / 4.0
과학기술과경제사,0ARG1279,7,2.0,이세진,수5~6,일반교양,4.0,과학기술과경제사 / 0ARG1279 / 7 / 2.0 / 이세진 / 수5~6 / 일반교양 / 4.0
ESG교육프로그램개발,0ARG1306,7,2.0,이형주,화3~4,일반교양,4.0,ESG교육프로그램개발 / 0ARG1306 / 7 / 2.0 / 이형주 / 화3~4 / 일반교양 / 4.0
논리적사고와표현,0APR1149,1,2.0,정영기,"화7, 수15",기초교양, ,"논리적사고와표현 / 0APR1149 / 1 / 2.0 / 정영기 / 화7, 수15 / 기초교양 / "
논리적사고와표현,0APR1149,2,2.0,정영기,"화8, 목14",기초교양, ,"논리적사고와표현 / 0APR1149 / 2 / 2.0 / 정영기 / 화8, 목14 / 기초교양 / "
논리적사고와표현,0APR1149,4,2.0,정영기,"월3, 금14",기초교양, ,"논리적사고와표현 / 0APR1149 / 4 / 2.0 / 정영기 / 월3, 금14 / 기초교양 / "
논리적사고와표현,0APR1149,5,2.0,정영기,"월4, 토15",기초교양, ,"논리적사고와표현 / 0APR1149 / 5 / 2.0 / 정영기 / 월4, 토15 / 기초교양 / "
논리적사고와표현,0APR1149,6,2.0,김완구,"월3, 월13",기초교양, ,"논리적사고와표현 / 0APR1149 / 6 / 2.0 / 김완구 / 월3, 월13 / 기초교양 / "
논리적사고와표현,0APR1149,7,2.0,김완구,"월4, 화13",기초교양, ,"논리적사고와표현 / 0APR1149 / 7 / 2.0 / 김완구 / 월4, 화13 / 기초교양 / "
논리적사고와표현,0APR1149,3,2.0,김완구,"목6, 목15",기초교양, ,"논리적사고와표현 / 0APR1149 / 3 / 2.0 / 김완구 / 목6, 목15 / 기초교양 / "
글쓰기와커뮤니케이션,0APR1150,1,2.0,손민영,월4~5,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 1 / 2.0 / 손민영 / 월4~5 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,2,2.0,이정선,화7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 2 / 2.0 / 이정선 / 화7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,3,2.0,한정순,월2~3,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 3 / 2.0 / 한정순 / 월2~3 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,4,2.0,손태도,월2~3,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 4 / 2.0 / 손태도 / 월2~3 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,5,2.0,한정순,월4~5,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 5 / 2.0 / 한정순 / 월4~5 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,6,2.0,손민영,월6~7,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 6 / 2.0 / 손민영 / 월6~7 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,7,2.0,김향,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 7 / 2.0 / 김향 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,8,2.0,한정순,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 8 / 2.0 / 한정순 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,9,2.0,손태도,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 9 / 2.0 / 손태도 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,10,2.0,김향,화5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 10 / 2.0 / 김향 / 화5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,11,2.0,윤재연,화5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 11 / 2.0 / 윤재연 / 화5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,29,2.0,김찬곤,월5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 29 / 2.0 / 김찬곤 / 월5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,31,2.0,윤재연,화7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 31 / 2.0 / 윤재연 / 화7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,32,2.0,윤재연,월2~3,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 32 / 2.0 / 윤재연 / 월2~3 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,33,2.0,손민영,월2~3,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 33 / 2.0 / 손민영 / 월2~3 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,34,2.0,손태도,월4~5,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 34 / 2.0 / 손태도 / 월4~5 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,35,2.0,윤재연,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 35 / 2.0 / 윤재연 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,36,2.0,이정선,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 36 / 2.0 / 이정선 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,42,2.0,변지선,월5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 42 / 2.0 / 변지선 / 월5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,46,2.0,김찬곤,월2~3,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 46 / 2.0 / 김찬곤 / 월2~3 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,12,2.0,김찬곤,수5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 12 / 2.0 / 김찬곤 / 수5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,13,2.0,김향,목3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 13 / 2.0 / 김향 / 목3~4 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,14,2.0,김찬곤,목3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 14 / 2.0 / 김찬곤 / 목3~4 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,15,2.0,손태도,목1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 15 / 2.0 / 손태도 / 목1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,16,2.0,윤재연,목1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 16 / 2.0 / 윤재연 / 목1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,17,2.0,김향,목5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 17 / 2.0 / 김향 / 목5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,18,2.0,김찬곤,목5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 18 / 2.0 / 김찬곤 / 목5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,19,2.0,김찬곤,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 19 / 2.0 / 김찬곤 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,20,2.0,변지선,화1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 20 / 2.0 / 변지선 / 화1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,21,2.0,김향,수7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 21 / 2.0 / 김향 / 수7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,22,2.0,안신혜,수5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 22 / 2.0 / 안신혜 / 수5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,23,2.0,송선령,수5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 23 / 2.0 / 송선령 / 수5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,24,2.0,손태도,수5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 24 / 2.0 / 손태도 / 수5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,25,2.0,이정선,목5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 25 / 2.0 / 이정선 / 목5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,26,2.0,변지선,목5~6,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 26 / 2.0 / 변지선 / 목5~6 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,27,2.0,손태도,수1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 27 / 2.0 / 손태도 / 수1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,28,2.0,변지선,수1~2,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 28 / 2.0 / 변지선 / 수1~2 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,30,2.0,변지선,화7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 30 / 2.0 / 변지선 / 화7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,37,2.0,이정선,목3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 37 / 2.0 / 이정선 / 목3~4 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,38,2.0,윤재연,수7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 38 / 2.0 / 윤재연 / 수7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,40,2.0,안신혜,수7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 40 / 2.0 / 안신혜 / 수7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,41,2.0,송선령,수7~8,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 41 / 2.0 / 송선령 / 수7~8 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,43,2.0,안신혜,수3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 43 / 2.0 / 안신혜 / 수3~4 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,44,2.0,송선령,수3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 44 / 2.0 / 송선령 / 수3~4 / 기초교양 / 
글쓰기와커뮤니케이션,0APR1150,45,2.0,이정선,수3~4,기초교양, ,글쓰기와커뮤니케이션 / 0APR1150 / 45 / 2.0 / 이정선 / 수3~4 / 기초교양 / 
대학영어강독2,0APR1154,1,2.0,한상수,"월5, 월14",기초교양, ,"대학영어강독2 / 0APR1154 / 1 / 2.0 / 한상수 / 월5, 월14 / 기초교양 / "
대학영어강독2,0APR1154,2,2.0,한상수,"월6, 월15",기초교양, ,"대학영어강독2 / 0APR1154 / 2 / 2.0 / 한상수 / 월6, 월15 / 기초교양 / "
대학영어강독2,0APR1154,5,2.0,이영경,"수2, 수14",기초교양, ,"대학영어강독2 / 0APR1154 / 5 / 2.0 / 이영경 / 수2, 수14 / 기초교양 / "
대학영어강독2,0APR1154,3,2.0,민주영,"월4, 화14",기초교양, ,"대학영어강독2 / 0APR1154 / 3 / 2.0 / 민주영 / 월4, 화14 / 기초교양 / "
대학영어강독2,0APR1154,4,2.0,박미경,"화4, 화15",기초교양, ,"대학영어강독2 / 0APR1154 / 4 / 2.0 / 박미경 / 화4, 화15 / 기초교양 / "
영어와비판적사고,0APR1195,1,2.0,권설녀,"월4, 월13",기초교양, ,"영어와비판적사고 / 0APR1195 / 1 / 2.0 / 권설녀 / 월4, 월13 / 기초교양 / "
영어와비판적사고,0APR1195,2,2.0,박영주,"월4, 화13",기초교양, ,"영어와비판적사고 / 0APR1195 / 2 / 2.0 / 박영주 / 월4, 화13 / 기초교양 / "
영어와비판적사고,0APR1195,3,2.0,남신흠,"화5, 수13",기초교양, ,"영어와비판적사고 / 0APR1195 / 3 / 2.0 / 남신흠 / 화5, 수13 / 기초교양 / "
영어와비판적사고,0APR1195,4,2.0,남신흠,"화6, 목13",기초교양, ,"영어와비판적사고 / 0APR1195 / 4 / 2.0 / 남신흠 / 화6, 목13 / 기초교양 / "
영어와비판적사고,0APR1195,5,2.0,오복남,"화4, 금13",기초교양, ,"영어와비판적사고 / 0APR1195 / 5 / 2.0 / 오복남 / 화4, 금13 / 기초교양 / "
영어와비판적사고,0APR1195,7,2.0,이영경,"수1, 금15",기초교양, ,"영어와비판적사고 / 0APR1195 / 7 / 2.0 / 이영경 / 수1, 금15 / 기초교양 / "
영어와비판적사고,0APR1195,8,2.0,권설녀,"수3, 목15",기초교양, ,"영어와비판적사고 / 0APR1195 / 8 / 2.0 / 권설녀 / 수3, 목15 / 기초교양 / "
영어와비판적사고,0APR1195,9,2.0,박미경,"수3, 수15",기초교양, ,"영어와비판적사고 / 0APR1195 / 9 / 2.0 / 박미경 / 수3, 수15 / 기초교양 / "
영어와비판적사고,0APR1195,10,2.0,성영미,"월3, 화15",기초교양, ,"영어와비판적사고 / 0APR1195 / 10 / 2.0 / 성영미 / 월3, 화15 / 기초교양 / "
영어와비판적사고,0APR1195,11,2.0,박영주,"월3, 월15",기초교양, ,"영어와비판적사고 / 0APR1195 / 11 / 2.0 / 박영주 / 월3, 월15 / 기초교양 / "
영어와비판적사고,0APR1195,30,2.0,성영미,"월5, 목14",기초교양, ,"영어와비판적사고 / 0APR1195 / 30 / 2.0 / 성영미 / 월5, 목14 / 기초교양 / "
영어와비판적사고,0APR1195,31,2.0,권설녀,"월5, 수14",기초교양, ,"영어와비판적사고 / 0APR1195 / 31 / 2.0 / 권설녀 / 월5, 수14 / 기초교양 / "
영어와비판적사고,0APR1195,33,2.0,이영경,"화13, 수4",기초교양, ,"영어와비판적사고 / 0APR1195 / 33 / 2.0 / 이영경 / 화13, 수4 / 기초교양 / "
영어와비판적사고,0APR1195,34,2.0,박미경,"수4, 수13",기초교양, ,"영어와비판적사고 / 0APR1195 / 34 / 2.0 / 박미경 / 수4, 수13 / 기초교양 / "
영어와비판적사고,0APR1195,12,2.0,전하영,"화1, 금14",기초교양, ,"영어와비판적사고 / 0APR1195 / 12 / 2.0 / 전하영 / 화1, 금14 / 기초교양 / "
영어와비판적사고,0APR1195,13,2.0,전하영,"월2, 목14",기초교양, ,"영어와비판적사고 / 0APR1195 / 13 / 2.0 / 전하영 / 월2, 목14 / 기초교양 / "
영어와비판적사고,0APR1195,14,2.0,민주영,"화3, 수14",기초교양, ,"영어와비판적사고 / 0APR1195 / 14 / 2.0 / 민주영 / 화3, 수14 / 기초교양 / "
영어와비판적사고,0APR1195,15,2.0,민주영,"화4, 화12",기초교양, ,"영어와비판적사고 / 0APR1195 / 15 / 2.0 / 민주영 / 화4, 화12 / 기초교양 / "
영어와비판적사고,0APR1195,16,2.0,최선령,"월14, 화6",기초교양, ,"영어와비판적사고 / 0APR1195 / 16 / 2.0 / 최선령 / 월14, 화6 / 기초교양 / "
영어와비판적사고,0APR1195,17,2.0,김혜경,"월5, 월13",기초교양, ,"영어와비판적사고 / 0APR1195 / 17 / 2.0 / 김혜경 / 월5, 월13 / 기초교양 / "
영어와비판적사고,0APR1195,18,2.0,민주영,"화13, 목5",기초교양, ,"영어와비판적사고 / 0APR1195 / 18 / 2.0 / 민주영 / 화13, 목5 / 기초교양 / "
